id,username,created_at,lng,lat,text
1515078266775871495,njmrbill,Fri Apr 15 21:23:02 +0000 2022,-76.645223,40.274234,@XpiredJuicebox Yes please.. don't make me beg
1515078266880774150,MisterJimmy3,Fri Apr 15 21:23:02 +0000 2022,-82.6694675,40.365159500000004,@joncoopertweets Absolutely
1515078268554293249,buttercupp1017,Fri Apr 15 21:23:02 +0000 2022,-95.44648649999999,29.838495,Over it all…
1515078269351178245,LaptopMechanic,Fri Apr 15 21:23:02 +0000 2022,-78.82221799999999,43.8309855,@alhajabalance 😁😁😁😁 boss 🙌🏿
1515078270466863104,jasontyler_85,Fri Apr 15 21:23:03 +0000 2022,-117.93225874,33.83087026,Just posted a photo @ Doll Hut https://t.co/lnikYZUAN3
1515078270554984453,Wanton_Witch,Fri Apr 15 21:23:03 +0000 2022,-73.9487755,40.655138,I intend to… https://t.co/OpCYb4uQcS
1515078269879607301,CodeNameJefe,Fri Apr 15 21:23:02 +0000 2022,-77.1289505,38.8468865,I can tell a lie if you asking me my whereabouts #FreshCutCheck https://t.co/zPSclj6gcU
1515078271276306432,carolynstearns,Fri Apr 15 21:23:03 +0000 2022,-72.757385,41.500753,"@treequeen Ugh, hang in there, soup, blanket, book weekend."
1515078271385300992,iamahmednahian,Fri Apr 15 21:23:03 +0000 2022,-117.397616,33.935822,😊💯 Onto more and more! #DOProud!
1515078271045578752,DrewReyes95,Fri Apr 15 21:23:03 +0000 2022,-118.1654195,33.8993125,It will be alright broski! 🤙🏽 https://t.co/g82q0kgHvr
1515078272194908168,iamkiec,Fri Apr 15 21:23:03 +0000 2022,-84.1511495,33.4424245,I’m always the one cooking 🙄
1515078272618356736,pawtailspq,Fri Apr 15 21:23:03 +0000 2022,-117.16422975,32.84026158,Just posted a photo @ California Labs and More Adoption Event https://t.co/WGp8UUnFQx
1515078273918803972,HurricaneSteff,Fri Apr 15 21:23:03 +0000 2022,-75.5234715,40.138200499999996,A quick out &amp; back 9 1/2 mile bike ride 🚴🏼‍♀️ https://t.co/cQuayal8QW
1515078275302834179,EricWebler,Fri Apr 15 21:23:04 +0000 2022,-73.9685415,40.780709,WEGMANS BROOKLYN BABYonly saw 3 cases and they were on a cart that was being used for stocking. i took it right o… https://t.co/4CgPuNVYvo
1515078277211336713,JovonnieC,Fri Apr 15 21:23:04 +0000 2022,-80.8467855,35.209058999999996,"@shotsofAlika @travis__dewayne lmao, popping in &amp; out of the world has been the theme of the season. i’m coming back though. lol."
1515078277701980174,Laythamtweet,Fri Apr 15 21:23:04 +0000 2022,-77.60468399999999,41.1179365,@narknon75 Beautiful
1515078277647552512,charlesn898,Fri Apr 15 21:23:04 +0000 2022,-79.42086499999999,38.003375500000004,@DishNTrish @Kraymer5 I'm certain that they haven't.
1515078277899112450,timjsinclair,Fri Apr 15 21:23:04 +0000 2022,-87.732013,41.8335845,@C_Pfanz81 @JordanClassic @Ty_rodgers20 The have an MC doing that. I just have to do the game itself. 🙌🏼
1515078279073611777,CWHarris7,Fri Apr 15 21:23:05 +0000 2022,-87.732013,41.8335845,@Dside6191 I had to get her 😄
1515078279031664657,OneloveChurchTN,Fri Apr 15 21:23:05 +0000 2022,-84.16185,36.3447699,Just posted a photo @ OneLove Church https://t.co/fr0LFO4N4Z
1515078279224455169,vegasdude83,Fri Apr 15 21:23:05 +0000 2022,-115.223125,36.232915,It is dangerous to be a woman in America right now
1515078279174184961,princessxjayd,Fri Apr 15 21:23:05 +0000 2022,-97.28591349999999,32.7799665,They ain’t cocked like a pistol or nun🙅🏽‍♀️😫
1515078279191048199,RiseOfTheBacon,Fri Apr 15 21:23:05 +0000 2022,-76.069946,36.8025415,"@HavocMythos @TTRPGRising In his off time, he would read about Helm, and his anointed knights. How they helped othe… https://t.co/z2uw8DXdh1"
1515078279656525827,SmokySportsTN,Fri Apr 15 21:23:05 +0000 2022,-83.9638415,35.9824705,Pigeon Forge baseball defeats West Ridge 9-3 in Kingsport Invitational
1515078279992164361,yourdadssocial,Fri Apr 15 21:23:05 +0000 2022,-86.24472850000001,32.364145,when this album came out i found my own self. i was tired of being like everyone else lol
1515078280126160897,bonnaaaay,Fri Apr 15 21:23:05 +0000 2022,-118.4119065,34.0207895,This week flew by and I didn’t take any days off 🤩
1515078280931688455,renaticas,Fri Apr 15 21:23:05 +0000 2022,-74.184848,40.734494,I have been taking the Newark-Bogota @UnitedAirlines 278 flight regularly for almost 15 years and I cannot think of… https://t.co/0X8Msy3vHj
1515078283238514693,scottklimek2,Fri Apr 15 21:23:06 +0000 2022,-79.4647522,39.128891,Drinking a Victor Russian Imperial Stout by Stumptown Ales @ Stumptown Ales — https://t.co/WmHHQVusIz
1515078283355836418,riotheatherrr,Fri Apr 15 21:23:06 +0000 2022,-122.061771,47.67881250000001,Democrats running in the midterms need to be yelling about this from the rooftops. Prominent Dems campaigning on th… https://t.co/HYYCWOtvoM
1515078283871891467,DawnofanewDay18,Fri Apr 15 21:23:06 +0000 2022,-78.4596785,36.8017865,@bobette20898402 All six dogs find their bed at night and stay there til morning.
1515078283020357637,JacksonSull3,Fri Apr 15 21:23:06 +0000 2022,-78.871284,38.438306,Finally Jackson is!..........home! If ya smeeelllllllllll what Jackson is cooking https://t.co/KATXvQlkdl
1515078283234213891,remaxcapitolpro,Fri Apr 15 21:23:06 +0000 2022,-104.787092,41.1352835,RE/MAX agent Amber Johnson is a true asset to our team! Her generosity through the Homes for Heroes program has all… https://t.co/5dyD3drU90
1515078283066548224,wifesnowbunny,Fri Apr 15 21:23:06 +0000 2022,-75.285822,43.100519,"That's why I prefer black lovers, they always come twice or more in my pussytwo jets of milk inside me🤤#creampie… https://t.co/iThxmmF0GU"
1515078285683793924,CoolassDeon26,Fri Apr 15 21:23:06 +0000 2022,-80.037594,40.3937555,Drunk unc out chea 😂😂
1515078286019342342,Navarp,Fri Apr 15 21:23:06 +0000 2022,-97.08020450000001,36.129689,"@CivilWarGhost @officialOKGOP But I am not ignoring it. As I said, in areas that are more open about sexuality and… https://t.co/lMjsadtk2E"
